sample_id,office,x,y,Vito,Lily,Urza,Charlie,Heidi,Fritzy,ThorA,Cami
sample_66,Elevator,,,,,,0.0,0.0,,,0.0
sample_67,Elevator,,,0.0,0.0,0.0,0.0,0.0,0.2,,0.1111111111111111
sample_68,Elevator,,,0.0,,0.0,0.0,0.5,0.0,,0.07692307692307693
sample_69,Elevator,,,0.02702702702702703,0.1111111111111111,0.025,0.0,0.025,0.038461538461538464,0.5454545454545454,0.022388059701492536
sample_70,Elevator,,,0.0,,0.0,0.0,0.0,0.6,,0.2
sample_71,Elevator,,,0.0,0.0,0.0,0.0625,,0.6666666666666666,0.0,0.07142857142857142
