Sample,office,x,y,Vito,Lily,Urza,Charlie,Heidi,Fritzy,ThorA,Cami
sample_36,Mimi/Linda,2,1,0.0013351134846461949,0.5131578947368421,0.0,0.0008532423208191126,0.0,0.0,0.0026302247126765393,0.0006426735218508997
sample_37,Mimi/Linda,3,1,0.0006357279084551812,0.09740259740259741,0.0,0.00028876696505919725,0.0,0.0008291873963515755,0.005706134094151213,0.0015413070283600493
sample_38,Mimi/Linda,4,1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
sample_40,Mimi/Linda,3,3,0.0006305170239596469,0.28125,0.0005980861244019139,0.0005813108559802354,0.0,0.0026362038664323375,0.0020657217313926144,0.0001597444089456869
sample_41,Mimi/Linda,2,3,0.0011534025374855825,0.9005847953216374,0.0,0.00026041666666666666,0.0012121212121212121,0.0,0.0005348308597406071,0.0005535566011624688
sample_42,Mimi/Linda,1,3,0.0015408320493066256,0.2882882882882883,0.0,0.00038182512409316535,0.0,0.002652519893899204,0.003123521060104117,0.00042069835927639884
sample_44,Mimi/Linda,3,2,0.00423728813559322,0.125,0.0,0.0022497187851518562,0.0,0.0,0.00434882124055848,0.0009551098376313276
