Sample,office,x,y,Vito,Lily,Urza,Heidi,Fritzy,ThorA,Cami
sample_52,Tracy/Silke,2,1,,,,0.0,,,0.043478260869565216
sample_53,Tracy/Silke,2,2,,,,,,0.0,0.0
sample_54,Tracy/Silke,3,1,,,0.0,,0.0,,0.2857142857142857
sample_55,Tracy/Silke,2,5,,,,,,,0.0
sample_56,Tracy/Silke,1,2,0.0,,,,,0.0,0.4166666666666667
sample_57,Tracy/Silke,5,1,0.0,,0.0,0.0,0.0,0.052980132450331126,0.01948051948051948
sample_59,Tracy/Silke,5,3,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.01366742596810934,0.09644670050761421
