Sample,office,x,y,Heidi,Fritzy,ThorA,Cami,Urza,Charlie,Vito
sample_36,Mimi/Linda,2,1,0.0,0.0,0.9676470588235294,0.0006426735218508997,0.0,0.0008633093525179857,0.0013351134846461949
sample_37,Mimi/Linda,3,1,0.0,0.0008291873963515755,0.987378640776699,0.0015413070283600493,0.0,0.000293513354857646,0.0006357279084551812
sample_38,Mimi/Linda,4,1,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0
sample_40,Mimi/Linda,3,3,0.0,0.0026362038664323375,0.9732728189611699,0.0001597444089456869,0.0005980861244019139,0.0005887547836326171,0.0006305170239596469
sample_41,Mimi/Linda,2,3,0.0014144271570014145,0.0,0.9572953736654805,0.0005535566011624688,0.0,0.00026281208935611036,0.0011534025374855825
sample_42,Mimi/Linda,1,3,0.0,0.002652519893899204,0.9861111111111112,0.00042069835927639884,0.0,0.00038654812524159255,0.0015408320493066256
sample_44,Mimi/Linda,3,2,0.0,0.0,0.9866071428571429,0.0009551098376313276,0.0,0.0022935779816513763,0.00423728813559322
