sample_id,office,x,y,Vito,Lily,Urza,ThorAmod,Heidi,Fritzy,ThorA,Cami
sample_66,Elevator,,,,,,,0.0,,,0.2222222222222222
sample_67,Elevator,,,0.0,0.0,0.0,,0.0,0.2,0.4,0.09401709401709402
sample_68,Elevator,,,0.0,,0.0,,0.5,0.0,0.4,0.09090909090909091
sample_69,Elevator,,,0.02702702702702703,0.1111111111111111,0.025,0.5454545454545454,0.023255813953488372,0.038461538461538464,0.6111111111111112,0.04560260586319218
sample_70,Elevator,,,0.0,,0.0,,0.0,0.6,0.8571428571428571,0.26666666666666666
sample_71,Elevator,,,0.0,0.0,0.0,0.0,,0.6666666666666666,0.0,0.13333333333333333
