sample_id,office,x,y,Vito,Lily,Urza,ThorAmod,Heidi,Fritzy,ThorA,Cami
sample_36,Mimi/Linda,2,1,0.0013351134846461949,0.5131578947368421,0.0,0.5897435897435898,0.0,0.0,0.600609756097561,0.019150467962562995
sample_37,Mimi/Linda,3,1,0.0006357279084551812,0.09740259740259741,0.0,0.8955223880597015,0.0,0.0008291873963515755,0.8923959827833573,0.01797374148704627
sample_38,Mimi/Linda,4,1,0.0,0.25,0.0,,0.0,0.0,0.9032258064516129,0.016736401673640166
sample_40,Mimi/Linda,3,3,0.0006305170239596469,0.28125,0.0005980861244019139,0.6074766355140186,0.0,0.0026362038664323375,0.6909413854351687,0.018716772267132767
sample_41,Mimi/Linda,2,3,0.0011534025374855825,0.9005847953216374,0.0,0.15384615384615385,0.0012121212121212121,0.0,0.14948453608247422,0.019043917605907502
sample_42,Mimi/Linda,1,3,0.0015408320493066256,0.2882882882882883,0.0,0.7857142857142857,0.0,0.002652519893899204,0.7228915662650602,0.01881303335919317
sample_44,Mimi/Linda,3,2,0.00423728813559322,0.125,0.0,0.8636363636363636,0.0,0.0,0.9099099099099099,0.02297165200391007
