"","sample_id","Heidi","Fritzy","ThorA","Cami","Urza","Charlie","Vito","location","ReadsRaw","ReadsFiltered","ReadsLengthfiltered","FamilyKmers","KmerCoverage","KmerDupRate","ExtractLVL","ReadsExtracted","Order","Family","Species","Reference","ReadsMapped","ProportionMapped","ReadsDeduped","DuplicationRate","CoveredBP","ReadsBedfiltered","PostBedCoveredBP","FamPercentage","Ancientness","ReadsDeam(1term)","ReadsDeam(3term)","Deam5(95ci)","Deam3(95ci)","Deam5Cond(95ci)","Deam3Cond(95ci)"
"14","sample_22",0.135506003430532,0.798715203426124,0.00632111251580278,0.000410677618069815,0.00606980273141123,0.000731528895391368,0.0677233429394813,"Dog Office (Container)",243783,199433,192069,13869,0.1096,330,"f",49223,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",47320,0.9613,5874,8.0558,16696,NA,NA,70.12,NA,10,49,"0.5 (0.2,1.2)","0.3 (0.1,0.7)","0.0 (0.0,84.2)","0.0 (0.0,84.2)"
"15","sample_23",0.101237345331834,0.776098901098901,0.0055452865064695,0.00110619469026549,0.00626304801670146,0.000509683995922528,0.0948660714285714,"Dog Office (Container)",399031,349536,333199,15897,0.1256,528,"f",92083,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",88771,0.964,8608,10.3126,16722,NA,NA,76.54,NA,25,62,"0.8 (0.4,1.3)","0.6 (0.3,1.0)","0.0 (0.0,97.5)","0.0 (0.0,60.2)"
"16","sample_24",0.0394736842105263,0.892307692307692,0.00158478605388273,0.000506072874493927,0.0114068441064639,0.000425350914504466,0.0825688073394495,"Dog Office (Container)",339386,263265,243542,13612,0.1076,345,"f",53158,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",51018,0.9597,4878,10.4587,16677,NA,NA,58.01,NA,12,48,"0.9 (0.4,1.7)","0.3 (0.1,0.8)","N/A (N/A,N/A)","0.0 (0.0,97.5)"
"17","sample_25",0.1,NA,0,0,NA,0.02,NA,"Dog Office (Container)",82497,66020,32586,4364,0.03448,85.9,"f",4507,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",4299,0.9538,91,47.2417,7682,NA,NA,81.98,NA,1,2,"0.0 (0.0,24.7)","5.6 (0.1,27.3)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"18","sample_26",0.461538461538462,0.38,0.00952380952380952,0.00326797385620915,0.0120481927710843,0.00260416666666667,0.138297872340426,"Dog Office (Container)",276896,235720,213644,11409,0.09015,195,"f",25340,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",24046,0.9489,762,31.5564,15975,NA,NA,69.33,NA,3,8,"1.4 (0.2,5.0)","0.6 (0.0,3.3)","N/A (N/A,N/A)","0.0 (0.0,97.5)"
"19","sample_27",0.328,0.494623655913978,0.00531914893617021,0.00378787878787879,0.0115606936416185,0,0.231292517006803,"Dog Office (Container)",327463,282014,263523,11455,0.09051,102,"f",13845,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",13036,0.9415,1354,9.6277,16509,NA,NA,36.66,NA,5,13,"1.0 (0.2,2.8)","0.6 (0.1,2.3)","0.0 (0.0,97.5)","0.0 (0.0,84.2)"
"20","sample_28",0.141176470588235,0.757467144563919,0.00143163922691482,0.00140154169586545,0.00699300699300699,0.000219154065307911,0.110091743119266,"Dog Office (Container)",495579,409789,376104,17681,0.1397,747,"f",142998,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",138236,0.9666,10137,13.6367,16727,NA,NA,78.07,NA,36,82,"0.8 (0.4,1.2)","0.9 (0.5,1.3)","0.0 (0.0,60.2)","0.0 (0.0,97.5)"
"21","sample_29",0.818181818181818,0,0,0.0144927536231884,0,0,0.142857142857143,"Lab (PCR Lab)",403631,333628,313343,6842,0.05406,29.8,"f",2674,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",2464,0.9214,205,12.0195,12292,NA,NA,1.94,NA,0,2,"0.0 (0.0,8.4)","0.0 (0.0,7.1)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"22","sample_3",0.221951219512195,0.0716723549488055,0.00419287211740042,0.00390117035110533,0.109725685785536,0.000595238095238095,0.593896713615023,"Dog Office (Container)",197028,177014,176502,12617,0.09969,210,"f",34959,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",33712,0.9643,3608,9.3436,16659,NA,NA,72.24,NA,12,38,"0.6 (0.2,1.4)","0.9 (0.4,1.8)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"23","sample_36",0,0,0.967647058823529,0.0006426735218509,0,0.000863309352517986,0.00133511348464619,"Dog Office (Lily/ThorA)",496730,417392,397687,16817,0.1329,610,"f",107909,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",102597,0.9507,7062,14.528,16721,NA,NA,79.05,NA,13,43,"0.8 (0.4,1.4)","0.1 (0.0,0.4)","0.0 (0.0,97.5)","0.0 (0.0,60.2)"
