sample_id,Heidi,Fritzy,ThorA,Cami,Urza,Charlie,Vito,location
sample_1(103504),0.992819126467855,0.00268039026482256,0.000893987931162929,0.000288229164357138,8.33E-05,0.000287699730004869,0.00262245949236677,Dog Office (Container)
sample_10(3682),0.672131147540984,0.0208333333333333,0,0.00110803324099723,0.0281030444964871,0.000606428138265616,0.288095238095238,Dog Office (Container)
sample_11(1333),0.448,0.145631067961165,0,0,0.0661764705882353,0.0018450184501845,0.395833333333333,Dog Office (Container)
sample_12(2925),0.617647058823529,0.216216216216216,0,0.00149700598802395,0.0189274447949527,0,0.15916955017301,Dog Office (Container)
sample_13(538),0.216666666666667,0.583333333333333,0,0.00425531914893617,0.0857142857142857,0.0036231884057971,0.17741935483871,Dog Office (Container)
sample_14(2813),0.394308943089431,0.378378378378378,0.00276243093922652,0.0025,0.0150602409638554,0.000857632933104631,0.103678929765886,Dog Office (Container)
sample_15(6162),0.220665499124343,0.611909650924025,0.0023094688221709,0.0038109756097561,0.0173661360347323,0,0.173314993122421,Dog Office (Container)
sample_16(349),0.170731707317073,0.35,0,0,0.0454545454545455,0,0.179487179487179,Dog Office (Container)
sample_17(4465),0.219211822660099,0.666666666666667,0,0.00220143093010457,0.0089086859688196,0,0.161662817551963,Dog Office (Container)
sample_18(85),0.272727272727273,NA,NA,0,NA,0,NA,Dog Office (Container)
sample_19(1038),0.192771084337349,0.546875,0,0.00490196078431373,0.115384615384615,0,0.168421052631579,Dog Office (Container)
sample_2(14778),0.403134796238244,0.0103750997605746,0.000518134715025907,0.000614911606456572,0.0163380281690141,0.000441371193173459,0.538732394366197,Dog Office (Container)
sample_21(694),0.117647058823529,0.4,0,0,0,0,0.2,Dog Office (Container)
sample_22(5874),0.135506003430532,0.798715203426124,0.00632111251580278,0.000410677618069815,0.00606980273141123,0.000731528895391368,0.0677233429394813,Dog Office (Container)
sample_23(8608),0.101237345331834,0.776098901098901,0.0055452865064695,0.00110619469026549,0.00626304801670146,0.000509683995922528,0.0948660714285714,Dog Office (Container)
sample_24(4878),0.0394736842105263,0.892307692307692,0.00158478605388273,0.000506072874493927,0.0114068441064639,0.000425350914504466,0.0825688073394495,Dog Office (Container)
sample_25(91),0.1,NA,0,0,NA,0.02,NA,Dog Office (Container)
sample_26(762),0.461538461538462,0.38,0.00952380952380952,0.00326797385620915,0.0120481927710843,0.00260416666666667,0.138297872340426,Dog Office (Container)
sample_27(1354),0.328,0.494623655913978,0.00531914893617021,0.00378787878787879,0.0115606936416185,0,0.231292517006803,Dog Office (Container)
